Exam_Component_ID,Title,Date_of_Test,Time_of_Test,Building,Room,Instructor,class,class_level
HM1,Capstone Design II,12-20-2024,2:30PM-5:00PM,CKB,219,Schesser,BME,496
101,Biomaterials,12-17-2024,6:00PM-8:30PM,KUPF,118,Collins,BME,672
101,Princ Of Neuromusc Engineering,12-17-2024,6:00PM-8:30PM,FENS,636,Adamovich,BME,674
101,CAD for Biomech & Biomaterials,12-18-2024,6:00PM-8:30PM,MALL,PC40,Androwis,BME,677
101,Virtual Biomedical Instrument,12-16-2024,6:00PM-8:30PM,FENS,636,DeMarco,BME,688
1,Graduate Seminar,12-16-2024,11:30AM-2:00PM,FMH,408,Buffone,BME,791
101,Biomedical Mechatronics,12-18-2024,6:00PM-8:30PM,GITC,1404,Yaramothu,BMET,415
1,Programming For Bioinformatics,12-16-2024,11:30AM-2:00PM,CKB,217,Wu,BNFO,135
3,Programming For Bioinformatics,12-16-2024,11:30AM-2:00PM,CKB,217,Wu,BNFO,135
5,Programming For Bioinformatics,12-16-2024,11:30AM-2:00PM,CKB,217,Wu,BNFO,135
1,Constrn Matrls & Procdrs,12-16-2024,11:30AM-2:00PM,CKB,222,Golon,CE,210
3,Constrn Matrls & Procdrs,12-16-2024,11:30AM-2:00PM,CKB,320,Karaa,CE,210
101,Constrn Matrls & Procdrs,12-19-2024,6:00PM-8:30PM,CKB,206,Hassane Assaad,CE,210
1,Fluid Mechanics,12-19-2024,2:30PM-5:00PM,FMH,408,Olenik,CE,320
101,Fluid Mechanics,12-17-2024,6:00PM-8:30PM,CKB,120,Olenik,CE,320
HM1,Fluid Mechanics,12-17-2024,6:00PM-8:30PM,CKB,120,Olenik,CE,320
1,Water Resources Engr,12-20-2024,2:30PM-5:00PM,CKB,206,Olenik,CE,321
101,Water Resources Engr,12-17-2024,6:00PM-8:30PM,KUPF,211,Del Monaco,CE,321
1,Structural Analysis,12-16-2024,2:30PM-5:00PM,TIER,106,Saigal,CE,332
101,Structural Analysis,12-19-2024,6:00PM-8:30PM,KUPF,205,Saadeghvaziri,CE,332
1,Reinforced Concrete Design,12-20-2024,8:30AM-11:00AM,FMH,407,Castro,CE,333
3,Reinforced Concrete Design,12-20-2024,8:30AM-11:00AM,CKB,223,Wecharatana,CE,333
101,Soil Mechanics,12-16-2024,6:00PM-8:30PM,CKB,217,Ciancia,CE,341
1,Geology,12-17-2024,2:30PM-5:00PM,KUPF,203,Schuring,CE,342
3,Geology,12-17-2024,2:30PM-5:00PM,KUPF,203,Schuring,CE,342
101,Geology,12-17-2024,6:00PM-8:30PM,COLT,416,Riegel,CE,342
101,Transportation Engr,12-19-2024,6:00PM-8:30PM,CKB,219,Besenski,CE,350
103,Transportation Engr,12-17-2024,6:00PM-8:30PM,CKB,303,Lee,CE,350
HM1,Transportation Engr,12-19-2024,6:00PM-8:30PM,CKB,219,Besenski,CE,350
103,Sustainable Civil Engr Mat,12-18-2024,6:00PM-8:30PM,KUPF,210,Korayem,CE,360
101,Constr Schedlng/Estimtng,12-16-2024,6:00PM-8:30PM,COLT,416,Slaughter,CE,410
1,Engineered Construction,12-20-2024,2:30PM-5:00PM,CKB,126,Roessner,CE,414
101,Steel Design,12-18-2024,6:00PM-8:30PM,KUPF,206,Castro,CE,432
103,Steel Design,12-20-2024,6:00PM-8:30PM,CKB,314,Prasad,CE,432
1,Foundation Design,12-16-2024,8:30AM-11:00AM,KUPF,107,Ciancia,CE,443
3,Foundation Design,12-16-2024,8:30AM-11:00AM,CKB,220,Shah,CE,443
101,Professional Practice In CEE,12-16-2024,6:00PM-8:30PM,CKB,222,Prasad,CE,461
101,Geographic Inform Sys,12-19-2024,6:00PM-8:30PM,CKB,313,Shabarek,CE,602
101,Construction Mgt,12-20-2024,6:00PM-8:30PM,CKB,206,Roessner,CE,610
851,Construction Mgt,12-20-2024,6:00PM-8:30PM,Online,NULL,Wynn,CE,610
853,Construction Mgt,12-21-2024,3:00PM-5:30PM,Online,NULL,Wynn,CE,610
851,Proj Planning & Control,12-17-2024,6:00PM-8:30PM,Online,NULL,Hanna,CE,611
853,Proj Planning & Control,12-20-2024,6:00PM-8:30PM,Online,NULL,Hanna,CE,611
851,Underground Construction,12-19-2024,6:00PM-8:30PM,Online,NULL,Slaughter,CE,614
